ああ	嗚呼
くろだ	黒田
くろどうし	黒道士
くろぬま	黒沼
くろねっかーのきょくげんこうしき	クロネッカーの極限公式
くろのす	九瓏ノ主
くろひめ	黒日売
くろへびだん	黒蛇団
くろぼう	黒坊
くろらぶきょうじゅ	黒ラブ教授
くろろでんどろんそうこう	クロロデンドロン藻綱
くろんぼう	黒ん坊
くわ	加
くわ	精
くわ	銜
くわ	鍬
くわい	回
くわいらく	快樂
くわうせん	光線
くわえいつうご	華英通語
くわしつ	過失
くわしほこいずたけをのみこと	精矛厳健雄命
くわだ	企
くわつぱつ	活溌
くわつぱつ	活發
くわぽ	戈浦
くわみずまち	神水町
くわん	卷
くわん	觀
くわんのん	観音
くわんみんじやうか	官民上下
くんいく	葷粥
くんしょうちだつれい	勲章褫奪令
くんじゅう	薫習
くんすー	困死
くんたん	燻炭
くんとう	薫陶
くんびー	困斃
くんふー	功夫
くんみんせいおん	訓民正音
くーしゃんびょう	克山病
くーろん	庫倫
ぐいのみ	ぐい呑み
ぐうぜん	偶然
ぐうぞう	偶像
ぐうぞうすうはい	偶像崇拝
ぐうわ	寓話
ぐきゅうみょうち	愚丘妙智
ぐし	髪
ぐじん	愚人
ぐずぐず	愚図愚図
ぐたべ	具多遍
ぐっず	脇役
ぐのーしす	叡智
ぐのーしす	真なる叡智
ぐのーむ	地精
ぐびじんそう	虞美人草
ぐらうんどぜろ	黄金城跡地
ぐらはむれいきゃくき	グラハム冷却器
ぐらびとん	蔵備頓
ぐらんどどらごん	地竜
ぐらんどますたー	盟主
ぐらーるりったー	星杯騎士団
ぐらーゔぇ	重々しく
ぐりもわーる	魔導書姫
ぐりーす	紅麗威甦
ぐりーんどらごんぞく	緑竜族
ぐるぐる	具流虞留
ぐるぐるけん	車車拳
ぐるぐるびりびり	具流虞留備離美利
ぐるじあご	グルジア語
ぐるじお	偶龍爾王
ぐれのむれ	愚れノ群れ
ぐれんき	紅蓮騎
ぐれんのつき	紅蓮の月
ぐれんのもり	紅蓮の森
ぐれーとあくたー	演技派
ぐわんらい	元來
ぐんじ	軍事
ぐんじょう	群青
ぐんだりやしゃみょうおう	軍荼利夜叉明王社
ぐんようきん	軍用金
ぐーたん	古弾
ぐーる	不死姫
けあらし	気嵐
けい	罽
けいあい	敬愛
けいあん	慶安
けいうん	慶雲
けいえい	桂栄
けいおう	慶応
けいかい	鯨海
けいがく	桂萼
けいきのう	頚気嚢
けいきょうたい	警矯隊
けいけん	敬虔
けいけんしゅぎ	経験主義
けいけんろん	経験論
けいこ	恵子
けいこ	桂子
けいこうたんぱくしつ	蛍光タンパク質
けいこく	熒惑
けいさい	掲載
けいさつこっか	警察国家
けいさんもでる	計算モデル
けいざい	経済
けいざいがくしゃ	経済学者
けいざいどうぶつ	経済動物
けいざんに	瓊山尼
けいしき	形式
けいしちょう	警視庁
けいじ	啓司
けいじそしょうほう	刑事訴訟法
けいじばん	掲示板
けいじょう	京城
けいじょうりえき	経常利益
けいすけ	恵介
けいせい	京成
けいせい	奎星
けいせいびょういん	慶聖病院
けいせんえき	桂川駅
けいた	圭太
けいたいにんとうはやてまる	携帯忍刀ハヤテ丸
けいちゆう	閨中
けいついねんざ	頸椎捻挫
けいていしまい	兄弟姉妹
けいてん	啓典
けいと	毛糸
けいとう	雁来紅
けいとうし	軽闘士
けいば	競馬
けいばつ	刑罰
けいひおとし	螢灯落とし
けいひきょうどうたい	警備矯導隊
けいひん	京浜
けいびん	慧敏
けいほう	刑法
けいまい	兄妹
けいめいくとう	鶏鳴狗盗
けいめいだいがく	慶明大学
けいもう	啓蒙
けいもうせんせいくんしゅ	啓蒙専制君主
けいもくろう	奎木狼
けいよう	京葉
けいようしく	形容詞句
けいりん	経綸
けいれん	痙攣
けう	希有
けが	怪我
けが	汚
けがれ	穢
けぎょうい	加行位
けご	警固
けさ	袈裟
けさお	袈裟尾
けし	芥子
けしごむだいかん	消しゴム代官
けしずみからす	消炭鴉
けしつぶ	罌粟粒
けせつ	仮設
けせんがわ	気仙川
けた	桁
けたあがりのよんめいか	桁上がりの四名家
けだ	蓋
けちずそう	血塗相
けっかてきかじゅうはん	結果的加重犯
けっきょく	結局
けっこんきねんしき	結婚記念式
けっさつ	結紮
けっしょう	結晶
けっせんさつ	血仙殺
けっせんちゅう	血仙蟲
けっていけいすう	決定係数
けってきほう	闕腋袍
けつ	决
けつじょう	決定
けつじょうみみかざり	玦状耳飾
けつだん	决斷
けつてい	決定
けつぶ	穴部
けつぶ	血部
けつぶ	頁部
けつべつ	訣別
けづめ	蹴爪
けにあきょうわこく	ケニア共和国
けはいね	気配値
けひのおおかみ	気比大神
けびいし	検非違使
けふぇうすざ	ケフェウス座
けぶり	烟
けぷらーのほうそく	ケプラーの法則
けぼねや	毛骨屋
けま	食満
けまきゅうり	毛馬胡瓜
けまこうもん	毛馬閘門
けまはいすいきじょう	毛馬排水機場
けみょう	仮名
けみょう	仮名世間
けむ	煙
けむり	煙
けもがみだんし	けも神男子
けもの	獣
けものつかい	獣使い
けらうのす	天の雷
けらく	快楽
けらくどう	快楽道
けるきおん	夜刀神
けるん	核
けん	権
けんいち	健一
けんいつ	憲一
けんえきたんちけん	検疫探知犬
けんえん	蘐園
けんえんじゅく	蘐園塾
けんか	喧嘩
けんかし	県柏
けんかじょうとう	喧嘩上刀
けんかたばみ	剣片喰
けんがく	賢学
けんぎ	剣義
けんぎょう	検校
けんぐん	健軍
けんげん	乾元
けんげんない	権限内
けんこう	謙降
けんこんいってきぶじゅつかい	乾坤一擲武術会
けんご	健吾
けんご	堅固
けんさくかこう	研削加工
けんさつかん	検察官
けんさつかんかんよけってい	検察官関与決定
けんさん	研鑽
けんしょう	憲章
けんしょうぶどー	剣将ブドー
けんじつ	芡実
けんじゅう	犬戎
けんじんきしがいあ	堅陣騎士ガイア
けんじんとりん	賢神トリン
けんせい	権勢
けんせいじろうしんくん	顕聖二郎真君
けんせき	譴責
けんたうるすざ	ケンタウルス座
けんたん	健啖
けんちょう	懸吊
けんつけどり	剣付鶏
けんでん	喧伝
けんとぅむご	ケントゥム語
けんとく	建徳
けんとづか	間斗束
けんどちょうらい	捲土重来
けんにんふくつ	堅忍不屈
けんびはふ	顯微法
けんぶ	見部
けんべん	兼便
けんぽう	憲法
けんぽうきねんび	憲法記念日
けんぽんちゃくしょく	絹本著色
けんもん	水蝹
けんり	権利
けんりゃく	建暦
けんりょくぶんりつ	権力分立
けんれんたいしょう	捲簾大将
げい	羿
げい	芸
げい	黥
げいしや	藝妓
げいじゅつたいいくよういん	芸術体育要員
げいじゅつよういん	芸術要員
げき	外記
げき	戟
げき	檄
げき	激気
げきけんさん	激気研鑚
げきげきぜんびーすとほう	激激全ビースト砲
げきげきびーすとほう	激激ビースト砲
げきげきほう	激激砲
げきげきりんりんざん	激激臨臨斬
げきこう	激昂
げきごういつ	激気合一
げきさい	撃摧
げきさっか	劇作家
げきじょうたい	激情態
げきちゅうにゅう	激気注入
げきとうし	激闘士
げきとうば	激闘場
げきりゅういっとう	激流一刀
げきりゅうけん	撃龍剣
げきりゅうしょう	撃竜衝
げきりゅうじん	撃龍神
げきりんけん	激臨剣
げきりんろうろうざん	激臨狼狼斬
げきれつだんしょう	激烈断掌
げきれつだんだ	激烈断打
げぎょう	現形
げご	外護
げごく	下獄
げざ	下座
げしも	下司名
げしん	下神
げじんみつきょう	解深密経
げす	下司
げっかいさんかんきいん	月海山観喜院
げっこうき	月光機
げっしょくかめんじゃーくむーん	月蝕仮面ジャークムーン
げっしんきょう	月神鏡
げっちゅうせんじょ	月中蟾蜍
げつい	孑遺
げどうしんけんれっど	外道シンケンレッド
げどうふくめつ	外道覆滅
げほうがり	外法狩り
げるまんそご	ゲルマン祖語
げん	元
げん	言
げんいち	元一
げんえい	元永
げんえいきしくろう	幻影騎士吼狼
げんえんのじゅつ	幻煙の術
げんおう	元応
げんかいじまししょ	玄界島支所
げんかいほう	幻開放
げんかいりえき	限界利益
げんかいりゅう	源海龍
げんかう	原稿
げんき	元亀
げんき	幻気
げんき	弦鬼
げんきがいそう	幻気凱装
げんきじゅうてん	幻気充填
げんきゅう	元久
げんぎょう	現行
げんぎょうくんしゅうじ	現行薫種子
げんこう	元亨
げんごきょういく	言語教育
げんさん	源さん
げんしえねるぎー	原子エネルギー
げんしかく	原子核
げんしかくはんのう	原子核反応
げんしかでんし	原子価電子
げんしたいき	原始大気
げんしよ	原書
げんしりょく	原子力
げんしりょくさいがいはけん	原子力災害派遣
げんしろう	幻死牢
げんしんごうてんへん	幻身豪天変
げんじ	原字
げんじげんぶん	原字原文
げんじょう	玄奘
げんすい	沅水
げんぜい	減税
げんそうじょう	幻双城
げんそく	原則
げんだ	原田
げんだい	現代
げんだいびじゅつ	現代美術
げんだいぶつりがく	現代物理学
げんちゅう	元中
げんとく	元徳
げんな	元和
げんにん	元仁
げんぱち	源八
げんぶ	言部
げんぶしんわ	玄武神話
げんぶばくさい	玄武爆砕
げんぶん	原文
げんぺい	源平
げんぺいかっせん	源平合戦
げんぺいそうらん	源平争乱
げんぺいのたたかい	源平の戦い
げんまちかこ	源馬千佳子
げんむじょう	幻夢城
げんりきごうごうは	幻力豪豪波
げんりゃく	元暦
げんりゅうじん	幻竜神
げんれい	厳厲
げんろういん	元老院
げんろく	元禄
げーと	迎門
げーとどらごん	門番竜
げーむ	作戦
げーむがるど	異世界
こあごひげ	小顎鬚
こいけ	小池
こいずみ	小泉
こいですきーじょう	小出スキー場
こいのうら	己斐浦
こいばしら	恋柱
こいるがたれいきゃくき	コイル型冷却器
こう	公
こう	功
こう	向
こう	国府
こう	好
こう	小
こう	耕
こう	膠
こう	蛟
こう	誥
こうあん	康安
こうあん	弘安
こうあん	苟安
こううびゃくうじん	項羽白羽陣
こううん	光暈
こうえい	康永
こうえき	公益
こうえききんむよういん	公益勤務要員
こうえんたんぶ	口縁端部
こうおう	康応
こうおん	硬音
こうか	江夏
こうかいがいしゃ	公開会社
こうかいさくか	孔開蒴果
こうかくえねるぎーばくてりあ	抗核エネルギーバクテリア
こうかつ	狡猾
こうかん	後患
こうが	嫦娥
こうがい	公害
こうがい	笄
こうがいじ	紅孩児
こうがくごうせい	光学合成
こうがくぶ	工学部
こうがん	睾丸
こうき	高危
こうきじてん	康熙字典
こうきてい	康熙帝
こうきぬ	光絹
こうきん	公瑾
こうきんけんこうごう	孝欽顕皇后
こうきんじょう	幌金縄
こうぎ	交誼
こうぎょくのけい	碧玉の圭
こうくうしゅへいろん	航空主兵論
こうくうゆそうこうどうぐるーぷ	航空輸送行動グループ
こうぐう	光宮
こうぐし	香具師
こうけきもいり	高家肝煎
こうけつ	口訣
こうけつ	膏血
こうけんりえき	貢献利益
こうげき	攻撃
こうげきでぃすく	攻撃ディスク
こうげん	康元
こうこ	江湖
こうこう	後項
こうこう	浩々
こうこう	高高
こうこく	興国
こうこく	鴻鵠
こうこげんのていり	勾股弦の定理
こうこげんのほう	鉤股弦の法
こうこん	後昆
こうこん	黄昏
こうごう	皇后
こうごうけんさいこう	光剛剣最光
こうごうりゅうはざん	光剛龍破斬
こうごんじょう	幌金縄
こうさ	公差
こうさい	交際
こうさいじょうようがん	鉱滓状溶岩
こうさん	猴三
こうざき	神崎
こうざき	香崎
こうざんぜき	鉱山咳
こうし	嚆矢
こうし	孝子
こうしきれい	公式令
こうしち	孝七
こうしゃげん	光射眩
こうしゅうくーろんじょう	甲州九龍城
こうしゅうほけんいし	公衆保健医師
こうしょう	公娼
こうしょう	工廠
こうしょう	康正
こうしりゅうせい	光矢流星
こうしん	皇親
こうしん	興清
こうしんせいだいほうこう	吼新星大咆吼
こうしんてっけんだん	硬芯鉄拳弾
こうじ	康治
こうじ	弘治
こうじつ	後日
こうじゅつ	甲戌
こうじよう	工事用
こうじん	光刃
こうじん	公人
こうじん	荒神
こうじんげん	紅蔘元
こうすいさんかのゆき	江水散花雪
こうずい	光蕋
こうずけのすけ	上野介
こうずち	上有知
こうせい	恒星
こうせつ	交接
こうせつあん	紅雪庵
こうぜん	興繕
こうそ	酵素
こうそう	幸遭
こうそう	紅藻
こうそうぎょう	好相行
こうそく	光速
こうそくけん	高速剣
こうそじょていまざーめるざーど	皇祖女帝マザーメルザード
こうぞ	楮
こうぞうかぷろぐらみんぐ	構造化プログラミング
こうたい	抗体
こうち	交趾
こうちょう	弘長
こうつ	木津
こうつうえいだん	交通営団
こうてつけんりゅう	鋼鉄剣竜
こうてん	皇天
こうてんしし	吼天獅子
こうでんこうか	光電効果
こうとう	勾当
こうとうだいどおり	勾当台通
こうとさんくつ	狡兎三窟
こうど	興戸
こうどう	行動
こうどうしゅぎ	行動主義
こうどじょうほうかしゃかい	高度情報化社会
こうどじょうほうしゃかい	高度情報社会
こうなん	港南
こうにん	弘仁
こうにんかいけいし	公認会計士
こうの	河野
こうのすやまちく	鴻巣山地区
こうはくまく	紅白幕
こうはしゅりけん	光波手裏剣
こうばい	紅梅
こうひ	后妃
こうひあいれん	鴻飛愛蓮
こうひよう	好評
こうび	交尾
こうふく	光復
こうふくせつ	光復節
こうぶ	行部
こうぶ	香部
こうぶ	高部
こうぶ	黄部
こうぶつがく	鉱物学
こうぶてつどう	甲武鉄道
こうへい	公平
こうべ	首
こうべえき	神戸駅
こうほう	康保
こうほうかい	黄袍怪
こうほく	甲北
こうぼう	広袤
こうぼく	厚朴
こうぼく	高木
こうまおう	蛟魔王
こうまくのうきんもん	コウマクノウキン門
こうまざ	こうま座
こうみょういん	光明院
こうみょうしょうよう	光明照耀
こうむ	荷
こうむ	被
こうもり	蝙蝠
こうもんじょ	候門所
こうや	曠野
こうや	高野
こうようかん	紅葉館
こうようしょ	降妖杵
こうらいばし	高麗橋
こうらくえん	甲羅苦円
こうらゆき	香羅雪
こうり	公理
こうりつてきしじょうかせつ	効率的市場仮説
こうりゃく	康暦
こうりゅう	江流
こうりゅうがいせいとう	降竜蓋世刀
こうりょう	虹梁
こうりょう	蛟竜
こうりょうし	光量子
こうろ	紅炉
こうろかん	鴻臚館
こうわ	康和
こうわ	弘和
こえ	聲
こえたご	肥桶
こえどがわ	越戸川
こおとわ	小音羽
こおり	郡
こおりあずき	氷小豆
こおりすい	氷水
こおりのやいば	氷の刃
こおりみず	氷水
こおりみつ	氷蜜
こおろち	小蛇
こか	瓠果
こかげいけ	小川下池
こかご	小籠
こかど	古角
こかわ	小川
こがつおとりしま	小鰹鳥島
こがね	黄金
こがねおおかみ	黄金狼
こがねざね	金札
こがねむらじゅんさ	小金村巡査
こがらし	木枯
こがらしのまい	木枯らしの舞い
こがわ	小川
こがわらぬま	小川原沼
こき	古希
こきふ	呼吸
こきん	古今
こぎんよう	小銀妖
こく	刻
こく	國
こく	斛
こくか	穀果
こくがく	国楽
こくさいいっぱんめい	国際一般名
こくさいきかん	国際機関
こくさいけいざい	国際経済
こくさいけいざいがく	国際経済学
こくさいだんせいでー	国際男性デー
こくさいほう	国際法
こくさいほけんきょうかいれんめい	国際保険協会連盟
こくさいれんごうかんしけんしょうささついいんかい	国際連合監視検証査察委員会
こくさいれんごうけんしょう	国際連合憲章
こくさいれんごうそうかい	国際連合総会
こくじん	黒塵
こくせんぷう	黒旋風
こくそう	黒槍
こくたいどうろ	国体道路
こくちゆう	国中
こくっちょさん	国庁さん
こくとうしゅ	黒糖酒
こくとうしょうちゅう	黒糖焼酎
こくとー	黒糖
こくどちりいん	国土地理院
こくぶ	谷部
こくぶ	黒部
こくみん	国民
こくみんしよがくにゆうもん	国民初学入門
こくみんぜんたい	國民全體
こくみんほけんいりょうのためのとくべつそちほう	国民保健医療の為の特別措置法
こくむちょう	黒夢町
こくもつ	穀物
こくようきしぜむ	黒曜騎士ゼム
こくりゅう	哭竜
こくりゅうぜき	黒竜関
こくりゅうぜき	黒龍関
こけ	苔
こけら	杮
こげつらんぶ	狐月乱舞
こげん	古言
ここ	拳
ここ	是
ここ	爰
ここ	茲
ここうのあらわし	孤高の荒鷲
ここうのとむらい	孤紅の恤
ここち	心地
ここつ	枯骨
ここね	心音
ここのえじん	九重陣
ここのそぢまりいつとせ	九十五歳
ここのそぢまりみとせ	九十三歳
こころ	心
こころ	意
ここんせつかい	古今説海
こさいきん	古細菌
こさか	小坂
こさびがわ	小蛇尾川
こざえもん	小左衛門
こざね	小札
こし	輿
こしがや	越谷
こしき	轂
こしたんたん	虎視眈々
こしゃく	小癪
こしゅ	扈主
こしゅんし	古鰆子
こしょ	古書
こしょうかん	枯松澗
こしょうじ	古小路
こしょくり	股所繰
こしらはざまばし	小白硲橋
こしろう	小四郎
こじ	巾子
こじき	乞食
こじゅう	扈従
こじゅつさいらん	古術彩鸞
こじょう	虎杖
こじょうこん	虎杖根
こすも	小宇宙
こすも	秩序
こすもりうむ	宇宙水槽
こずかたじょう	不来方城
こせんへい	虎先兵
こぜんたいい	虎髯大尉
こそく	姑息
こそで	小袖
こそでのて	小袖の手
こそん	古村
こた	対
こた	小田
こたい	固体
こたつやぐら	炬燵櫓
こたろう	小太郎
こたろう	虎太郎
こだいえじぷと	古代エジプト
こだいおりんぴっく	古代オリンピック
こだまえ	小田前
こだまひこのみこと	児玉彦命
こちご	小稚児
こちゅうじ	胡黜児
こちょう	胡蝶
こっかけんりょく	国家権力
こっかん	克艱
こっき	克己
こっき	骨旗
こっきゅう	黒弓
こっく	厨夫
こっけい	国景
こっけいばなし	滑稽噺
こっけんきしだん	黒剣騎士団
こつき	克己
こつきょく	骨棘
こつぜん	忽然
こつとつ	蓇葖
こつね	小常
こつぶ	骨部
こつまなんきん	勝間南瓜
こづかはらまち	小塚原町
こてんてきじゆうしゅぎ	古典的自由主義
こてんぶ	古典部
こてんめいだいろんり	古典命題論理
こてんりきがく	古典力学
こでんち	古殿地
こと	事
こと	殊
こと	異
こと	言
こと	顧菟
ことあまつかみ	別天津神
ことかた	異方
ことことだま	言言魂
ことさ	故
ことさ	殊更
ことしろぬしのかみ	事代主神
ことだま	言霊
ことづて	言伝
ことは	言葉
ことば	言
ことば	言葉
ことば	語
ことばあそび	言葉遊び
ことばこころ	言意
ことひらじんじゃ	金刀比羅神社
ことぶきしょうてん	壽商店
ことぶきやまごう	寿山号
ことりづかい	部領使
ことわざ	諺
ことわり	理
ことわり	言理
こどうよう	小銅妖
こどく	蠱毒
こどくし	孤独死
こどくぼう	蠱毒房
こども	子供
この	好
この	此
このくに	此国
このころ	頃之
このしろ	飯代魚
このところ	此処
このは	木葉
このはがくし	木の葉隠し
このはなさくやひめのみこと	木花咲弥姫命
このはなさくやひめのみこと	木花咲耶姫命
このはなのさくやびめ	木花之佐久夜毘売
このはなのさくやびめ	木花開耶姫
このはなのさくやびめ	許乃波奈佐久夜比売命
このひ	此日
このへん	此邊
このまた	木俣
こはくがおかじょしこうこう	琥珀ヶ丘女子高校
こはくきゅう	狐白裘
こはま	小浜
こばま	小浜
こばやし	古林
こばやし	小林
こばんちゃやちょう	木場茶屋町
こびきちよう	木挽町
こふがね	小府金
こぶ	瘤
こぶ	虍部
こぶ	鼓部
こぶき	小吹
こぶくろ	小囊
こぶね	小舟
こぶら	毒蛇
こほうこうしれんへき	虎崩靠四連劈
こほん	古本
こまえ	古前
こまか	細
こまきさい	駒木祭
こまきもーたーす	小牧モータース
こまごま	細密
こまだい	駒大
こまなこ	己麻奴跪
こまねえ	コマ姐
こまんだーくろき	コマンダー黒木
こみなみ	小南
こむしゃ	児武者
こむそうあみがさ	虚無僧編笠
こむそうがさ	虚無僧笠
こむろ	小室
こも	籠
こも	菰
こもがわ	菰川
こもちやまんば	嫗山姥
こもはら	薦原
こもり	小森
こもんず	共有地
こもんどまち	古門戸町
こや	昆陽
こやとこ	木屋床
こやのがわ	児屋川
こやま	蚕山
こよく	鼓翼
こよし	小芳
こよみ	古詠
こより	紙縒
こりきたいせん	虎力大仙
こりたき	香燃
こりつし	孤立死
こりつほう	孤立峰
こりのかみ	高麗紙
こりんしゃ	孤輪車
こりんせい	こりん星
これ	之
これ	是
これかげ	維景
これくしょん	蠟燭
これくたー	蒐集家
これくてぃぶ	集成
これひろ	維広
これむね	伊統
これもと	維職
ころう	固陋
ころう	故老
ころう	虎狼
ころうがくしや	故老学者
ころにー	傍世
こわ	怕
こわ	毀
こわい	狐者異
こわもて	強面
こゑ	聲
こん	崑
こん	根
こん	紺
こんこんしょう	魂魂掌
こんこんだん	魂魂弾
こんごういけづきぞうし	金剛生月艸紙
こんごうたく	金剛琢
こんごうにょ	金剛女
こんしゅうばそく	金鷲優婆塞
こんしゅじ	金鐘寺
こんしょうぼさつ	金粛菩薩
こんしんらかん	金身羅漢
こんじき	金色
こんじきおおかみ	金色狼
こんじゃくとげつきょう	今昔渡月橋
こんじょう	金青
こんじょまろ	金杵麿
こんずぎゃてい	金頭掲諦
こんせいまおう	混世魔王
こんぜやま	金勝山
こんぜんし	金蟬子
こんぜんどうじ	金蟬童子
こんだ	金田
こんだい	今代
こんちぇると	協奏曲
こんちゅうけんしみおーら	昆虫剣士ミオーラ
こんちゅうだいひゃっか	昆虫大百科
こんちゅうのはね	昆虫の翅
こんとん	渾敦
こんなん	困難
こんにち	今日
こんにゃくもんどう	蒟蒻問答
こんぱい	困憊
こんべんせきせき	袞冕赤舃
こんぽん	根本
こんやく	困厄
こんりょう	袞龍
こんりんざい	金輪際
こんろん	崑崙
こーちゃんとうおきかいせん	コーチャン島沖海戦
こーど	枷
こーどねーむ	暗号名
ごう	合
ごう	江
ごう	豪
ごういん	強引
ごうかえん	剛火炎
ごうかけんらん	業火絢爛
ごうかせきもうどくだん	轟渦赤猛毒弾
ごうかだいかくめい	豪火大革命
ごうかだん	合花弾
ごうがんふそん	傲岸不遜
ごうごうげき	剛剛撃
ごうごうげきげきしゅーと	轟轟激激シュート
ごうしょう	豪将
ごうじま	豪島
ごうじゅうえいだん	豪獣鋭断
ごうじゅうどりる	豪獣ドリル
ごうじゅうれっくす	豪獣レックス
ごうじゅん	敖閏
ごうせいじゅう	合成獣
ごうせいじゅうきまいらー	合成獣キマイラー
ごうせんぷう	轟旋風
ごうちん	轟沈
ごうてん	轟天
ごうどの	神殿
ごうはどう	轟波動
ごうばら	神原
ごうほういっせん	轟砲一閃
ごうもん	拷問
ごうゆうこうだん	剛勇吼弾
ごうゆうこうは	剛勇吼波
ごうゆうしょうだ	剛勇衝打
ごうよく	剛抑
ごうらい	傲来
ごうらいげき	強雷撃
ごうらいこく	傲来国
ごうらいしん	拷雷震
ごうらいじん	轟雷神
ごうらいせんぷうじん	轟雷旋風神
ごうりゅう	号竜
ごうりゅうがん	剛龍銃
ごうりゅうしゅうれっぱ	轟龍蹴烈破
ごうりゅうじん	剛龍神
ごうりゅうじん	強龍神
ごうれつ	剛烈
ごうれつくらいしん	剛烈駆雷震
ごうわんりき	豪腕力
ごうん	五蘊
ごえく	越来
ごえつどうしゅうじゅうけんがったい	呉越同舟獣拳合体
ごえん	誤嚥
ごかくだいかえん	五角大火炎
ごがんのほうり	五官祝
ごきしちどう	五畿七道
ごきゅうしょ	御休所
ごきりやう	御容量
ごくあくちょう	極悪蝶
ごくあくどうめい	極悪同盟
ごくえんのおーが	獄炎のオーガ
ごくしょまち	御供所町
ごくちょうおおづつ	極超大筒
ごくぼう	極暴
ごくぼうたっぐ	極暴タッグ
ごくまる	獄丸
ごくようせい	御供養星
ごくん	五葷
ごけ	後家
ごけしゅう	牛貨洲
ごけんてい	五剣帝
ごごうごう	五合業
ごごうはた	五合畑
ごしっく	怪綺
ごしゃ	伍奢
ごしょ	御所
ごしょがだに	御所ケ谷
ごしょがだに	御所ヶ谷
ごしんがったい	五神合体
ごじじょう	御治定
ごじっかわ	五十川
ごじゅうご	五五
ごじゅうのたち	五重の太刀
ごすけばしだんそう	五助橋断層
ごせいかい	護星界
ごせいがったい	五星合体
ごせいてんし	護星天使
ごそほうえん	五祖法演
ごたいこく	五大国
ごちそう	御馳走
ごちょうめん	五丁免
ごっどくろすふぁいたー	神竜合士
ごと	如
ごとう	後藤
ごとうし	五島氏
ごとく	五徳
ごとんにんしゅりけん	五トン忍シュリケン
ごとんようしゅりけん	五トン妖シュリケン
ごどう	伍堂
ごどう	悟道
ごどくけん	五毒拳
ごのむら	五ノ村
ごはん	御飯
ごびゅう	誤謬
ごびんでん	御便殿
ごぶんのいち	五分の一
ごへい	伍平
ごへしご	御返事河
ごへんじがわ	御瓶子川
ごほうぎゃてい	五方掲諦
ごみぶち	五味淵
ごや	後夜
ごやくねんらいせぜうのひと	五百年來世上人
ごようくみあい	御用組合
ごりがはま	五里ヶ浜
ごりごりだ	ゴリゴリ打
ごりごりは	ゴリゴリ波
ごりやく	御利益
ごりょうえ	御霊会
ごるんのゔぁそうとう	ゴルンノヴァ総統
ごれむさいまじゅう	ゴレムサイマ獣
ごれんじゅうでんけん	五連獣電剣
ごろう	吾郎
ごんごんけん	厳厳拳
ごんた	ゴン太
ごんぶ	艮部
ごんめもち	五文餅
ごーかいさむらいぎり	ゴーカイ侍斬り
ごーかいむげんしゅりけん	ゴーカイ無限手裏剣
ごーごーけん	轟轟剣
ごーるでんぐろーぶしょう	ゴールデングローブ賞
さい	歳
さい	砕
さいおとこ	犀男
さいおんじはかせ	西園寺博士
さいかつかぜ	細葛風
さいがわ	際川
さいきょう	埼京
さいきん	細菌
さいきんちう	細菌中
さいぎしん	猜疑心
さいげきしゅう	砕撃蹴
さいこ	精神
さいこう	斉衡
さいこうけいえいせきにんしゃ	最高経営責任者
さいこうざいむせきにんしゃ	最高財務責任者
さいこうちしきせきにんしゃ	最高知識責任者
さいごう	西郷
さいごうきょうだい	西郷兄弟
さいし	祭祀
さいしゅうおうぎでぃすく	最終奥義ディスク
さいじゃく	纔著
さいじょう	西条
さいぜん	最前
さいぞう	才蔵
さいたい	妻帯
さいたい	臍帯
さいたいさい	賽太歳
さいたばり	斉田発
さいたん	犀潭
さいだ	斎田
さいだいがんがんけん	砕大頑頑拳
さいだいけん	砕大剣
さいだいげきりんざん	砕大激臨斬
さいだいばくれん	砕大爆連
さいだいもん	西大門
さいだんざ	さいだん座
さいてんとうろうそう	賽転灯籠槍
さいでぃすく	砕ディスク
さいと	咲都
さいとうともき	齋藤知輝
さいなん	災難
さいなんうけあい	災難請合
さいは	鰓耙
さいはいのなりいくさおの	采配形戦斧
さいはいりょく	采配力
さいばんしょ	裁判所
さいほうじ	西方寺
さいほうてん	西方天
さいほんじ	西品寺
さいまじゅう	サイマ獣
さいむ	債務
さいもんうえにんじぞうそん	西門飢人地蔵尊
さうおう	相應
さうざんど	千の魔剣
さうはう	相方
さうりんぼう	草林坊
さえ	紗江
さえぎ	遮
さえもんのじょうけ	左衛門尉家
さお	篙
さおとめもんどのすけ	早乙女主水之介
さか	懋
さか	盛
さかい	坂井
さかい	堺
さかいべ	境部
さかえり	逆襟
さかき	榊
さかきざし	榊差
さかきだまち	榊田町
さかげ	坂下
さかさはりつけ	逆磔
さかたきしゃ	坂田記者
さかづき	盃
さかて	酒手
さかのいち	佐賀市
さかまきのたまゆら	逆巻の玉響
さかまくなみ	驚濤
さかもときゅう	坂本九
さかゆ	栄
さかんこく	沙陥国
さかんなだ	坂灘
さが	捜
さがの	嵯峨野
さがみはらし	相模原市
さがみはんじろきゅうり	相模半白胡瓜
さがりふじ	下り藤
さがわ	佐川
さき	前
さき	咲葵
さき	崎
さき	早紀
さき	未来
さきいけ	佐紀池
さきえだ	崎枝
さきがけ	魁
さきざらし	前晒
さきた	崎田
さきたま	埼玉
さきつよのふること	先代旧辞
さきみたま	幸魂
さきもり	防人
さきやましゅうけい	向山周慶
さぎょうけんさほう	作業検査法
さくおと	桜乙女
さくか	朔果
さくか	蒴果
さくげつ	朔月
さくこだいきゅうり	佐久古太きゅうり
さくさん	柞蚕
